station_name,collectioncode,seriescode,ocean,station_type,latitude,longitude,depth,stationstatus,stationclass,first_year,last_year,locality,rcvr_serial,map_code
A-BAY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.94,-155.87,unknown,active,deployed,2003-11-25,2004-06-02,,,
AIRPORTWEST,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.76259,-156.08235,128.016,active,deployed,2020-10-16,,,,
BLACK POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.10562,-155.88475,unknown,active,deployed,2003-06-13,2012-03-20,,,
COOK POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.4828,-155.944,unknown,active,deployed,2008-01-15,2008-03-03,,,
DROPPEDTAG1,PIRAT.LHWI,PIRAT,MID PACIFIC,,19.57183,-156.00275,1000,active,deployed,,,,,
DROPPEDTAG2,PIRAT.LHWI,PIRAT,MID PACIFIC,,19.57183,-156.00275,1000,active,deployed,,,,,
ELECTRIC BEACH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.35558,-158.141,unknown,active,deployed,2007-02-09,2009-07-02,,,
FAD B,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.1983,-155.94833,2000,active,deployed,2018-03-27,2025-06-27,,,
FAD BO,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.15,-158.152,2000.0,active,deployed,2021-11-19,2025-06-09,,,
FAD C,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.385,-155.98667,2000.0,active,deployed,2017-01-10,2025-06-27,,,
FAD CO,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.5617,-158.4467,2000.0,active,deployed,2021-11-12,2025-06-11,,,
FAD F,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.506,-156.15666,2000.0,active,deployed,2018-03-27,2025-06-26,,,
FAD HH,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.035,-158.035,2000.0,active,deployed,2021-10-10,2025-06-09,,,
FAD II,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.7466,-158.222,2000,active,deployed,2022-02-14,2025-06-11,,,
